Title;Alternative;Key;Opus;Duration;Movements;Published;Difficulty
Three Piano Sonatas, No. 1;;E♭ major;WoO 47-1;12,5;3;1783;2,5
Three Piano Sonatas, No. 2;;F minor;WoO 47-2;15,0;3;1783;2,5
Three Piano Sonatas, No. 3;;D major;WoO 47-3;18,5;3;1783;3
Piano Sonata No. 1;;F minor;2-1;20,5;4;1796;2,5
Piano Sonata No. 2;;A major;2-2;27,5;4;1796;3
Piano Sonata No. 3;;C major;2-3;26,0;4;1796;3,5
Piano Sonata No. 4;Grand Sonata;E♭ major;7;30,0;4;1798;3,5
Piano Sonata No. 5;Little Pathétique;C minor;10-1;19,5;3;1798;3
Piano Sonata No. 6;;F major;10-2;16,5;3;1798;3
Piano Sonata No. 7;;D major;10-3;24,5;4;1798;3,5
Piano Sonata No. 8;Pathétique;C minor;13;19,5;3;1799;3
Piano Sonata No. 9;;E major;14-1;14,0;3;1799;3
Piano Sonata No. 10;;G major;14-2;17,0;3;1799;2,5
Piano Sonata No. 11;;B♭ major;22;26,5;4;1802;3
Piano Sonata No. 12;Funeral March;A♭ major;26;20,5;4;1802;3
Piano Sonata No. 13;Quasi una fantasia;E♭ major;27-1;16,0;4;1802;3,5
Piano Sonata No. 14;Moonlight;C♯ minor;27-2;15,5;3;1802;2,5
Piano Sonata No. 15;Pastorale;D major;28;25,5;4;1802;3
Piano Sonata No. 16;;G major;31-1;24,5;3;1803;3,5
Piano Sonata No. 17;Tempest;D minor;31-2;24,5;3;1803;3
Piano Sonata No. 18;The Hunt;E♭ major;31-3;22,5;4;1804;3,5
Piano Sonata No. 19;;G minor;49-1;8,0;2;1805;2,5
Piano Sonata No. 20;;G major;49-2;9,0;2;1805;2
Piano Sonata No. 21;Waldstein;C major;53;26,0;3;1805;3,5
Piano Sonata No. 22;;F major;54;12,5;2;1806;4
Piano Sonata No. 23;Appassionata;F minor;57;24,5;3;1807;4
Piano Sonata No. 24;À Thérèse;F♯ major;78;10,0;2;1810;3,5
Piano Sonata No. 25;;G major;79;9,5;3;1810;2,5
Piano Sonata No. 26;Les Adieux;E♭ major;81a;17,5;3;1811;3,5
Piano Sonata No. 27;;E minor;90;13,5;2;1815;3,5
Piano Sonata No. 28;;A major;101;21,0;4;1817;4
Piano Sonata No. 29;Hammerklavier;B♭ major;106;43,5;4;1819;4,5
Piano Sonata No. 30;;E major;109;19,5;3;1821;4
Piano Sonata No. 31;;A♭ major;110;19,0;3;1822;4
Piano Sonata No. 32;;C minor;111;26,5;2;1823;4,5
Rondo in C major;;C major;51-1;5,5;1;1810;2,5
